Score,FIRST DOWNS,THIRD DOWN EFFICIENCY,FOURTH DOWN EFFICIENCY,TOTAL OFFENSE,NET YARDS PASSING,completionAttemptsNumber,completionAttemptsYards,NetYards,SackedNumber,SackedYards,intercepted,NET YARDS RUSHING,Rushing Attempts,Average gain per rush,PUNTS: Number,PUNTS: Yards,Average,TOTAL RETURN YARDS,PENALTIES: Number,PENALTIES: Yards,FUMBLES: Number,FUMBLES: Lost,SACKS: Number,SACKS: Yards,INTERCEPTIONS: Number,INTERCEPTIONS: Yards,TIME OF POSSESSION,Target Data
18.4444,4.1111,8.0,12.4444,160.6667,-159.5556,-10.2222,-22.0,-3.5667,-4.6667,-34.0,-0.6667,320.2222,21.7778,4.7444,-3.8889,-160.5556,-3.8588,-27.2222,-2.0,-41.2222,3.0,2.0,2.1111,10.4444,1.0,37.2222,320.4444,0
15.8148,4.2963,4.5926,-25.9259,134.5556,190.5185,7.5926,1.2593,5.7444,2.8519,22.0,-2.0741,-55.963,-9.5926,-1.0889,-3.5556,-130.3704,1.8889,-63.963,-1.5556,-6.2222,0.4444,0.0,1.8889,7.963,1.6667,19.6667,183.9259,0
23.1481,7.9259,16.8889,24.6296,227.0741,149.8519,8.2963,6.963,3.7148,-0.4815,-3.8148,-0.5556,77.2222,-5.0,2.2037,-5.2963,-223.3704,-8.4074,-16.2593,-5.2222,-48.2222,-0.0741,-0.3704,0.3333,-0.9259,-0.4815,-12.7407,2.7778,0
8.2222,2.0,9.6667,7.7778,0.2222,28.8889,5.0,-3.1111,1.4667,2.7778,24.0,-1.5556,-28.6667,9.4444,-1.8667,1.4444,78.6667,4.4556,30.8889,-2.1111,-12.2222,0.4444,0.1111,-1.6667,-2.1111,1.3333,10.8889,4.8889,1
-2.5556,-3.5556,3.5556,22.2222,-32.8889,-73.5556,0.3333,-4.4444,-1.0667,-3.5556,-24.3333,-2.0,40.6667,-4.0,1.6111,0.8889,10.0,-4.1222,-20.0,5.2222,19.3333,-0.8889,-0.8889,-1.7778,-7.6667,0.3333,-2.8889,392.7778,1
6.7778,-2.1111,12.8889,0.8889,-119.0,-147.3333,-7.2222,-25.5556,1.4444,0.4444,10.1111,-0.6667,28.3333,10.7778,-0.1444,-2.2222,-85.5556,0.6444,-12.4444,0.3333,-7.1111,-1.2222,-1.1111,2.1111,16.3333,0.6667,24.5556,242.6667,0
-19.6667,-19.3333,-21.6667,-33.3333,-311.6667,-235.3333,-12.0,-15.3333,-4.9,-0.3333,-2.3333,-1.0,-76.3333,-14.3333,0.2667,3.3333,124.0,2.3333,107.6667,3.6667,10.3333,0.6667,0.6667,-2.6667,-15.3333,-1.0,-18.6667,-319.3333,1
11.3333,1.6667,13.0,-41.6667,103.3333,125.3333,6.0,3.0,3.7333,0.3333,13.3333,-0.6667,-22.0,-7.3333,0.2667,-4.6667,-236.0,-14.4667,26.6667,1.3333,15.6667,0.3333,0.6667,-0.3333,1.3333,2.0,87.3333,-359.6667,1
13.5185,11.3333,2.9259,3.7037,151.6667,70.7037,4.7778,7.4074,0.6333,0.4444,-0.2593,0.7407,80.963,13.8889,0.5963,0.9259,-18.7407,-13.7667,-40.8889,0.037,-9.8889,-0.3333,-0.1481,2.2593,7.7037,0.4444,18.6667,80.7407,0
20.3333,1.3333,8.3333,-33.3333,47.0,68.0,1.6667,-1.6667,2.6,-1.3333,-13.3333,-0.6667,-21.0,-4.0,-0.2,-3.0,-90.3333,0.5667,11.6667,0.6667,-1.3333,-0.3333,-1.0,1.0,17.3333,-2.0,-26.0,83.6667,0
